ea,name,name_origin,source_kind,original_symbol,demangled_symbol,translated_alias,segment,size,xrefs_to,flags,is_thunk,is_library,is_default_sub
860528,sub_D2170,ida_default_sub,,,,,.plt,20,0,5120,False,False,True
860560,plt_TGaniObject_setlocaly_double_bool,elf_symbol,plt_thunk,._ZN11TGaniObject9setlocalyEdb,"TGaniObject::setlocaly(double,bool)",plt_TGaniObject_setlocaly_double_bool,.plt,16,1,5312,True,False,False
860576,plt_TServerPlayer_setHead_TString_const,elf_symbol,plt_thunk,._ZN13TServerPlayer7setHeadERK7TString,TServerPlayer::setHead(TString const&),plt_TServerPlayer_setHead_TString_const,.plt,16,1,5312,True,False,False
860592,plt_TLevelLoader_loadBoard_TStream_short_int_bool,elf_symbol,plt_thunk,._ZN12TLevelLoader9loadBoardEP7TStreamPsib,"TLevelLoader::loadBoard(TStream *,short *,int,bool)",plt_TLevelLoader_loadBoard_TStream_short_int_bool,.plt,16,2,5312,True,False,False
860608,.get_crc_table,ida_named_non_elf,,,,,.plt,16,1,5312,True,False,False
860624,plt_TPlayer_pushDrawMatrix_float_float_float_float_float,elf_symbol,plt_thunk,._ZN7TPlayer14pushDrawMatrixEfffff,"TPlayer::pushDrawMatrix(float,float,float,float,float)",plt_TPlayer_pushDrawMatrix_float_float_float_float_float,.plt,16,2,5312,True,False,False
860640,plt_TScriptSpace_executeActionCatch_TGraalVar_TScriptAction,elf_symbol,plt_thunk,._ZN12TScriptSpace18executeActionCatchEP9TGraalVarP13TScriptAction,"TScriptSpace::executeActionCatch(TGraalVar *,TScriptAction *)",plt_TScriptSpace_executeActionCatch_TGraalVar_TScriptAction,.plt,16,1,5248,True,False,False
860656,plt_GuiBitmapCtrl_setBitmap_TString_const,elf_symbol,plt_thunk,._ZN13GuiBitmapCtrl9setBitmapERK7TString,GuiBitmapCtrl::setBitmap(TString const&),plt_GuiBitmapCtrl_setBitmap_TString_const,.plt,16,1,5312,True,False,False
860672,plt_TWindow_createDrawingPanel_void,elf_symbol,plt_thunk,._ZN7TWindow18createDrawingPanelEv,TWindow::createDrawingPanel(void),plt_TWindow_createDrawingPanel_void,.plt,16,3,5312,True,False,False
860688,plt_TFontOptions_getFontForCharacterPage_int,elf_symbol,plt_thunk,._ZN12TFontOptions23getFontForCharacterPageEi,TFontOptions::getFontForCharacterPage(int),plt_TFontOptions_getFontForCharacterPage_int,.plt,16,1,5312,True,False,False
